siteid,Name,month,year,years_fire,pre_post_fire,burned,closed_ever,tot_vis,closed_month,d2p
CRG_005,"Nesmith Point, McCord, Elowa Falls",8,2017,-1,pre,yes,yes,3636,open,2017-08-15
CRG_005,"Nesmith Point, McCord, Elowa Falls",8,2018,0,post,yes,yes,0,closed,2018-08-15
CRG_005,"Nesmith Point, McCord, Elowa Falls",8,2019,1,post,yes,yes,0,closed,2019-08-15
CRG_005,"Nesmith Point, McCord, Elowa Falls",9,2014,-3,pre,yes,yes,451,open,2014-09-15
CRG_005,"Nesmith Point, McCord, Elowa Falls",9,2015,-2,pre,yes,yes,980,open,2015-09-15
CRG_005,"Nesmith Point, McCord, Elowa Falls",9,2016,-2,pre,yes,yes,648,open,2016-09-15
CRG_005,"Nesmith Point, McCord, Elowa Falls",9,2016,-1,pre,yes,yes,1636,open,2016-09-15
CRG_005,"Nesmith Point, McCord, Elowa Falls",9,2017,0,post,yes,yes,0,closed,2017-09-15
CRG_005,"Nesmith Point, McCord, Elowa Falls",9,2018,1,post,yes,yes,0,closed,2018-09-15
CRG_005,"Nesmith Point, McCord, Elowa Falls",10,2014,-3,pre,yes,yes,334,open,2014-10-15
CRG_005,"Nesmith Point, McCord, Elowa Falls",10,2015,-2,pre,yes,yes,802,open,2015-10-15
CRG_005,"Nesmith Point, McCord, Elowa Falls",10,2016,-1,pre,yes,yes,685,open,2016-10-15
CRG_005,"Nesmith Point, McCord, Elowa Falls",10,2017,0,post,yes,yes,0,closed,2017-10-15
CRG_005,"Nesmith Point, McCord, Elowa Falls",10,2018,1,post,yes,yes,0,closed,2018-10-15
CRG_005,"Nesmith Point, McCord, Elowa Falls",11,2014,-3,pre,yes,yes,135,open,2014-11-15
CRG_005,"Nesmith Point, McCord, Elowa Falls",11,2015,-2,pre,yes,yes,349,open,2015-11-15
CRG_005,"Nesmith Point, McCord, Elowa Falls",11,2016,-1,pre,yes,yes,737,open,2016-11-15
CRG_005,"Nesmith Point, McCord, Elowa Falls",11,2017,0,post,yes,yes,0,closed,2017-11-15
CRG_005,"Nesmith Point, McCord, Elowa Falls",11,2018,1,post,yes,yes,0,closed,2018-11-15
CRG_005,"Nesmith Point, McCord, Elowa Falls",12,2014,-3,pre,yes,yes,118,open,2014-12-15
CRG_005,"Nesmith Point, McCord, Elowa Falls",12,2015,-2,pre,yes,yes,243,open,2015-12-15
CRG_005,"Nesmith Point, McCord, Elowa Falls",12,2016,-1,pre,yes,yes,584,open,2016-12-15
CRG_005,"Nesmith Point, McCord, Elowa Falls",12,2017,0,post,yes,yes,0,closed,2017-12-15
CRG_005,"Nesmith Point, McCord, Elowa Falls",12,2018,1,post,yes,yes,0,closed,2018-12-15
CRG_006,Munra Falls,1,2015,-3,pre,yes,yes,404,open,2015-01-15
CRG_006,Munra Falls,1,2016,-2,pre,yes,yes,543,open,2016-01-15
CRG_006,Munra Falls,1,2017,-1,pre,yes,yes,895,open,2017-01-15
CRG_006,Munra Falls,1,2018,0,post,yes,yes,0,closed,2018-01-15
CRG_006,Munra Falls,1,2019,1,post,yes,yes,0,closed,2019-01-15
CRG_006,Munra Falls,2,2015,-3,pre,yes,yes,681,open,2015-02-15
CRG_006,Munra Falls,2,2016,-2,pre,yes,yes,1199,open,2016-02-15
CRG_006,Munra Falls,2,2017,-1,pre,yes,yes,744,open,2017-02-15
CRG_006,Munra Falls,2,2018,0,post,yes,yes,0,closed,2018-02-15
CRG_006,Munra Falls,2,2019,1,post,yes,yes,0,closed,2019-02-15
CRG_006,Munra Falls,3,2015,-3,pre,yes,yes,801,open,2015-03-15
CRG_006,Munra Falls,3,2016,-2,pre,yes,yes,2627,open,2016-03-15
CRG_006,Munra Falls,3,2017,-1,pre,yes,yes,3205,open,2017-03-15
CRG_006,Munra Falls,3,2018,0,post,yes,yes,0,closed,2018-03-15
CRG_006,Munra Falls,3,2019,1,post,yes,yes,0,closed,2019-03-15
CRG_006,Munra Falls,4,2015,-3,pre,yes,yes,2013,open,2015-04-15
CRG_006,Munra Falls,4,2016,-2,pre,yes,yes,4689,open,2016-04-15
CRG_006,Munra Falls,4,2017,-1,pre,yes,yes,3663,open,2017-04-15
CRG_006,Munra Falls,4,2018,0,post,yes,yes,0,closed,2018-04-15
CRG_006,Munra Falls,4,2019,1,post,yes,yes,0,closed,2019-04-15
CRG_006,Munra Falls,5,2015,-3,pre,yes,yes,2315,open,2015-05-15
CRG_006,Munra Falls,5,2016,-2,pre,yes,yes,9127,open,2016-05-15
CRG_006,Munra Falls,5,2017,-1,pre,yes,yes,10160,open,2017-05-15
CRG_006,Munra Falls,5,2018,0,post,yes,yes,0,closed,2018-05-15
CRG_006,Munra Falls,5,2019,1,post,yes,yes,0,closed,2019-05-15
CRG_006,Munra Falls,6,2015,-3,pre,yes,yes,2973,open,2015-06-15
CRG_006,Munra Falls,6,2016,-2,pre,yes,yes,11409,open,2016-06-15
CRG_006,Munra Falls,6,2017,-1,pre,yes,yes,11048,open,2017-06-15
CRG_006,Munra Falls,6,2018,0,post,yes,yes,0,closed,2018-06-15
CRG_006,Munra Falls,6,2019,1,post,yes,yes,0,closed,2019-06-15
CRG_006,Munra Falls,7,2015,-3,pre,yes,yes,4881,open,2015-07-15
CRG_006,Munra Falls,7,2016,-2,pre,yes,yes,9488,open,2016-07-15
CRG_006,Munra Falls,7,2017,-1,pre,yes,yes,13085,open,2017-07-15
CRG_006,Munra Falls,7,2018,0,post,yes,yes,0,closed,2018-07-15
CRG_006,Munra Falls,7,2019,1,post,yes,yes,0,closed,2019-07-15
CRG_006,Munra Falls,8,2015,-3,pre,yes,yes,3791,open,2015-08-15
CRG_006,Munra Falls,8,2016,-2,pre,yes,yes,8313,open,2016-08-15
CRG_006,Munra Falls,8,2017,-1,pre,yes,yes,8472,open,2017-08-15
CRG_006,Munra Falls,8,2018,0,post,yes,yes,0,closed,2018-08-15
CRG_006,Munra Falls,8,2019,1,post,yes,yes,2271,closed,2019-08-15
CRG_006,Munra Falls,9,2014,-3,pre,yes,yes,709,open,2014-09-15
CRG_006,Munra Falls,9,2015,-2,pre,yes,yes,2124,open,2015-09-15
CRG_006,Munra Falls,9,2016,-2,pre,yes,yes,2444,open,2016-09-15
CRG_006,Munra Falls,9,2016,-1,pre,yes,yes,4473,open,2016-09-15
CRG_006,Munra Falls,9,2017,0,post,yes,yes,0,closed,2017-09-15
CRG_006,Munra Falls,9,2018,1,post,yes,yes,0,closed,2018-09-15
CRG_006,Munra Falls,10,2014,-3,pre,yes,yes,457,open,2014-10-15
CRG_006,Munra Falls,10,2015,-2,pre,yes,yes,1672,open,2015-10-15
CRG_006,Munra Falls,10,2016,-1,pre,yes,yes,1562,open,2016-10-15
CRG_006,Munra Falls,10,2017,0,post,yes,yes,0,closed,2017-10-15
CRG_006,Munra Falls,10,2018,1,post,yes,yes,0,closed,2018-10-15
CRG_006,Munra Falls,11,2014,-3,pre,yes,yes,265,open,2014-11-15
CRG_006,Munra Falls,11,2015,-2,pre,yes,yes,759,open,2015-11-15
CRG_006,Munra Falls,11,2016,-1,pre,yes,yes,1654,open,2016-11-15
CRG_006,Munra Falls,11,2017,0,post,yes,yes,0,closed,2017-11-15
CRG_006,Munra Falls,11,2018,1,post,yes,yes,0,closed,2018-11-15
CRG_006,Munra Falls,12,2014,-3,pre,yes,yes,165,open,2014-12-15
CRG_006,Munra Falls,12,2015,-2,pre,yes,yes,642,open,2015-12-15
CRG_006,Munra Falls,12,2016,-1,pre,yes,yes,873,open,2016-12-15
CRG_006,Munra Falls,12,2017,0,post,yes,yes,0,closed,2017-12-15
CRG_006,Munra Falls,12,2018,1,post,yes,yes,0,closed,2018-12-15
CRG_007,Tanner Butte,1,2015,-3,pre,yes,yes,32,open,2015-01-15
